day,simulated,live_with_a_bug,live_with_bad_luck
0,-0.0068758729,-0.0068758729,-0.0077578335
1,-0.0051160649,-0.0051160649,-0.0054904663
2,0.0139083259,0.0139083259,0.0136716025
3,-0.0050175846,-0.0050175846,-0.0059248063
4,0.0231432079,0.0231432079,0.0235885767
5,0.0110922129,0.0110922129,0.0118096840
6,0.0105534744,0.0105534744,0.0119242064
7,0.0134002241,0.0134002241,0.0153127416
8,0.0256362005,0.0256362005,0.0286511531
9,0.0058891826,0.0058891826,0.0082779136
10,-0.0044970498,-0.0044970498,-0.0009049531
11,-0.0030346127,-0.0030346127,0.0009636036
12,-0.0114279092,-0.0114279092,-0.0083717345
13,0.0051489229,0.0051489229,0.0081320257
14,0.0064044649,0.0064044649,0.0083855173
15,0.0000856915,0.0000856915,0.0008799822
16,-0.0182503816,-0.0182503816,-0.0161740782
17,-0.0079150210,-0.0079150210,-0.0058153156
18,0.0138862880,0.0138862880,0.0155245136
19,-0.0076851842,-0.0076851842,-0.0064923637
20,0.0003934763,0.0003934763,0.0024712417
21,-0.0015706679,-0.0015706679,0.0018961119
22,0.0004082004,0.0004082004,0.0044911686
23,-0.0074428577,-0.0074428577,-0.0049776423
24,-0.0040927506,-0.0040927506,-0.0013722583
25,0.0098482535,0.0098482535,0.0127074150
26,0.0104234194,0.0104234194,0.0137627586
27,-0.0035591103,-0.0035591103,-0.0012676392
28,0.0068397538,0.0068397538,0.0082708814
29,-0.0064107365,-0.0064107365,-0.0064795272
30,-0.0090376417,-0.0090376417,-0.0089429627
31,-0.0068937056,-0.0068937056,-0.0061511657
32,-0.0063665753,-0.0063665753,-0.0062856408
33,0.0160623943,0.0160623943,0.0169989468
34,-0.0134373039,-0.0134373039,-0.0135502053
35,-0.0157861784,-0.0157861784,-0.0167304836
36,0.0041221017,0.0041221017,0.0028882254
37,0.0006798589,0.0006798589,-0.0006426011
38,0.0045109589,0.0045109589,0.0023327971
39,-0.0010356337,-0.0010356337,-0.0024767031
40,-0.0027641273,-0.0027641273,-0.0052758072
